pc,delta
94685453737011,-405583440
94685453737011,-176639008
94685453736968,-126562296
94685453736988,-361104552
94685453736996,-1521162336
94685453736968,1898817264
94685453736968,752535888
94685453736968,-1838731136
94685453736974,-744336496
94685453736968,353433552
94685453736968,-557246080
94685453736749,3745289680
94685453736968,-534447888
94685453736968,-137600800
94685453737057,-2200255744
94685453736974,198786880
94685453737057,65336528
94685453736974,2859274864
94685453737057,-3912640160
94685453736996,3725097632
94685453737057,-2960659360
94685453737011,-250439680
94685453736968,485453616
94685453736968,-78612957940
94685453736924,78294548996
94685453737011,3116856928
94685453737057,-4304799832
94685453736749,2973629816
94685453736968,-2063766384
94685453736968,-297550128
94685453736968,804231488
94685453737057,1144703008
94685453736968,1189542192
94685453736996,-2870344368
94685453736968,2223363888
94685453736968,-2413751280
94685453736968,163213456
94685453736974,589614704
94685453736968,1154658432
94685453736996,-658991568
94685453736968,-1873859216
94685453736749,1627436096
94685453736968,1885277104
94685453737011,-2968823216
94685453737057,2435528464
94685453736996,-1062627456
94685453736968,432067008
94685453736996,284972208
94685453736968,118256000
94685453737057,684257392
94685453736968,401900624
94685453737057,-1288501472
94685453736968,-2687668304
94685453736749,2871041024
94685453736968,-729249072
94685453736996,-12302060060
94685453736924,11939712524
94685453736968,-635795232
94685453736968,2216299344
94685453736968,-2018226768
94685453736968,-776700224
94685453736974,-372962272
94685453736749,4295037456
94685453736968,-1578290864
94685453737011,1117051232
94685453736968,-3279672816
94685453736968,2869951008
94685453736968,-2070667872
94685453736968,1254996720
94685453736968,1789969600
94685453736974,-1180443136
94685453736968,-2230123776
94685453736968,-92076240
94685453736968,1854356352
94685453736968,-1908136704
94685453736968,2967514800
94685453736968,-786870672
94685453736968,-1766131200
94685453736968,-48170592
94685453736968,-112325284688
94685453736924,112470166976
94685453736968,2669160960
94685453736968,-950473840
94685453737057,-347132144
94685453736968,-2111325120
94685453736968,-77850676552
94685453736924,77752315960
94685453736968,2347566960
94685453736968,899538144
94685453736968,-2925598864
94685453737057,2314075840
94685453736968,-228009392
94685453736974,393569600
94685453736968,-370988256
94685453736968,-2343941184
94685453736968,291361632
94685453736968,-69743080760
94685453736924,68918964408
94685453736749,845474192
94685453736968,938780384
94685453737057,-106117872580
94685453736924,108209251052
94685453736988,-106989833296
94685453736924,103096280432
94685453736749,275173176
94685453736749,3315738656
94685453736968,-3118902816
94685453736968,-43654761800
94685453736924,44884498120
94685453737057,-70071093500
94685453736924,72386806332
94685453736968,-1322701728
94685453736968,-141324048
94685453736968,-2117409488
94685453736974,3521922224
94685453736968,-3528316336
94685453737057,1670828848
94685453736968,1009145552
94685453737057,301404184
94685453736988,622521384
94685453736968,-195527328
94685453736968,-1804326672
94685453736968,-239261392
94685453737057,-92466777112
94685453736924,92028881720
94685453736996,1003777320
94685453736988,-1053526056
94685453736968,-853911152
94685453737011,-99172768
